producto,marca,formato,cantidad,precio,supermercado,categoría,id_producto
"Manzana golden",Dia,Bolsa,"1 Kg",1.99,Dia,"Fruta y verduras",1
"Manzana roja",Dia,Bolsa,"1 Kg",2.19,Dia,"Fruta y verduras",2
"Manzana pink lady",Dia,Bandeja,"550 g",1.99,Dia,"Fruta y verduras",3
"Manzana golden",Dia,Granel,"1 Kg",2.19,Dia,"Fruta y verduras",4
"Manzana granny",Dia,Granel,"800 g",1.75,Dia,"Fruta y verduras",5
"Manzana fuji",Dia,Bolsa,"1 Kg",2.29,Dia,"Fruta y verduras",6
"Manzana roja selección",Dia,Granel,"1 Kg",2.69,Dia,"Fruta y verduras",7
"Bebida espirituosa tipo brandy",Gladiador,Botella,"1 l",5.99,Dia,"Bebidas con alcohol",8
Brandy,Veterano,Botella,"1 l",9.35,Dia,"Bebidas con alcohol",9
"Brandy de Jerez solera reserva",Magno,Botella,"70 cl",11.99,Dia,"Bebidas con alcohol",10
"Brandy de Jerez solera",Gladiador,Botella,"70 cl",6.79,Dia,"Bebidas con alcohol",11
Brandy,Centenario,Botella,"1 l",9.49,Dia,"Bebidas con alcohol",12
"Brandy de Jerez",Soberano,Botella,"70 cl",7.99,Dia,"Bebidas con alcohol",13
Brandy,Torres,Botella,"  70 cl",10.5,Dia,"Bebidas con alcohol",14
"Brandy de Jerez solera gran reserva","Alma de magno",Botella,"70 cl",16.79,Dia,"Bebidas con alcohol",15
"Huevos super grandes XL",Hacendado,Paquete,"12 ud.",3.25,Mercadona,Huevos,16
"Huevos grandes L",Hacendado,Paquete,"12 ud.",2.2,Mercadona,Huevos,17
"Huevos grandes L",Hacendado,Paquete,"6 ud.",1.2,Mercadona,Huevos,18
"Huevos medianos M",Hacendado,Paquete,"12 ud.",2,Mercadona,Huevos,19
"Huevos de gallinas camperas",Hacendado,Paquete,"12 ud.",2.62,Mercadona,Huevos,20
"Huevos de gallinas camperas",Hacendado,Paquete,"6 ud.",1.59,Mercadona,Huevos,21
"Huevos cocidos",Hacendado,Paquete,"6 ud.",1.6,Mercadona,Huevos,22
"Huevos de codorniz",Hacendado,Paquete,"18 ud.",1.65,Mercadona,Huevos,23
"Claras de huevo líquidas pasteurizadas",Hacendado,Botella,"1 L",2.6,Mercadona,Huevos,24
"Claras de huevo líquidas pasteurizadas",Hacendado,Botella,"300 ml",1.55,Mercadona,Huevos,25
Huevos,Hacendado,Paquete,"24 ud.",3.8,Mercadona,Huevos,26
"Cerveza extra malta",Ramblers,Lata,"33 cl",0.53,Dia,"Bebidas con alcohol",27
"Cerveza tostada",Ramblers,Lata,"33 cl",0.49,Dia,"Bebidas con alcohol",28
"Cerveza de trigo",Ramblers,Botella,"50 cl",1.05,Dia,"Bebidas con alcohol",29
"Cerveza muy suave",Ramblers,Botella,"33 cl",0.89,Dia,"Bebidas con alcohol",30
Cerveza,Ramblers,Lata,"  33 cl",0.45,Dia,"Bebidas con alcohol",31
"Cerveza doble malta","Voll Damm",Lata,"33 cl",0.99,Dia,"Bebidas con alcohol",32
"Cerveza mexicana",Corona,Botella,"35.5 cl",1.5,Dia,"Bebidas con alcohol",33
"Cerveza reserva",Alhambra,Botella,"  4 x 33 cl",5.89,Dia,"Bebidas con alcohol",34
"Cerveza reserva",Alhambra,Botella,"  6 x 225 ml",5.99,Dia,"Bebidas con alcohol",35
"Cerveza con tequila",Desperados,Botella,"33 cl",1.49,Dia,"Bebidas con alcohol",36
"Cerveza especial blue",Salitos,Botella,"33 cl",1.75,Dia,"Bebidas con alcohol",37
Cerveza,Franz,Botella,"50 cl",1.86,Dia,"Bebidas con alcohol",38
"Cerveza especial negra",Ramblers,Lata,"33 cl",0.53,Dia,"Bebidas con alcohol",39
"Cerveza de trigo alemana",Paulaner,Botella,"50 cl",1.99,Dia,"Bebidas con alcohol",40
"Cerveza reserva especial",1906,Botella,"6 x 33 cl",7.29,Dia,"Bebidas con alcohol",41
"Cerveza artesana",Ramblers,Botella,"33 cl",0.93,Dia,"Bebidas con alcohol",42
"Cerveza tostada doble lúpulo  Maestra",Mahou,Lata,"33 cl",1,Dia,"Bebidas con alcohol",43
"Cerveza rosé",Mahou,Lata,"33 cl",0.89,Dia,"Bebidas con alcohol",44
"Cerveza artesana ipa",Ramblers,Botella,"33 cl",1.3,Dia,"Bebidas con alcohol",45
Cerveza,Budweiser,Botella,"6 x 25 cl",4.69,Dia,"Bebidas con alcohol",46
Cerveza,Ambar,Botella,"  33 cl",1.49,Dia,"Bebidas con alcohol",47
Cerveza,Budweiser,Lata,"33 cl",0.95,Dia,"Bebidas con alcohol",48
"Cerveza tostada doble lúpulo  Maestra pack",Mahou,Frasco,"6 x 25 cl",5.55,Dia,"Bebidas con alcohol",49
"Cerveza ipa",Ambar,Lata,"33 cl",1.29,Dia,"Bebidas con alcohol",50
"Cerveza rubia","Pilsner Urquell",Lata,"33 cl",1.39,Dia,"Bebidas con alcohol",51
"Cerveza morena tostada suavemente",Ambar,Lata,"33 cl",0.95,Dia,"Bebidas con alcohol",52
"Cerveza especial","La rubia",Botella,"  33 cl",1.17,Dia,"Bebidas con alcohol",53
"Cerveza artesanal","Blue moon",Botella,"33 cl",1.69,Dia,"Bebidas con alcohol",54
Cerveza,Corona,Botella,"  33 cl",1.6,Dia,"Bebidas con alcohol",55
"Cerveza ipa",Arriaca,Lata,"33 cl",1.75,Dia,"Bebidas con alcohol",56
"Cerveza artesana all day ipa",Founders,Lata,"33 cl",1.89,Dia,"Bebidas con alcohol",57
"Cerveza especial pink",Salitos,Botella,"33 cl",1.75,Dia,"Bebidas con alcohol",58
"Cerveza artesana roja",Ramblers,Botella,"33 cl",1.05,Dia,"Bebidas con alcohol",59
"Cerveza extra  Selecta","San Miguel",Botella,"33 cl",1.19,Dia,"Bebidas con alcohol",60
"Cerveza especial extreme",8.6,Lata,"50 cl",1.45,Dia,"Bebidas con alcohol",61
"Cerveza especial original",8.6,Lata,"50 cl",1.35,Dia,"Bebidas con alcohol",62
"Cerveza rubia genuine draft",Miller,Botella,"33 cl",1.29,Dia,"Bebidas con alcohol",63
"Cerveza especial indian ipa","La sagra",Botella,"33 cl",1.99,Dia,"Bebidas con alcohol",64
"Cerveza ipa",Mahou,Lata,"33 cl",1.19,Dia,"Bebidas con alcohol",65
"Cerveza brune",Leffe,Botella,"33 cl",2.19,Dia,"Bebidas con alcohol",66
"Cerveza bourbon  Barrica",Mahou,Botella,"33 cl",2.35,Dia,"Bebidas con alcohol",67
"Cerveza lager dunkel  Maestra",Mahou,Botella,"33 cl",1.45,Dia,"Bebidas con alcohol",68
"Cerveza  Barrica",Mahou,Botella,"33 cl",1.99,Dia,"Bebidas con alcohol",69
"Cerveza tostada doble lúpulo  Maestra",Mahou,Botella,"33 cl",1.39,Dia,"Bebidas con alcohol",70
"Cerveza roja reserva",Alhambra,Botella,"4 x 33 cl",5.99,Dia,"Bebidas con alcohol",71
"Cerveza mexicana",Coronita,Botella,"6 x 21 cl",5.69,Dia,"Bebidas con alcohol",72
Cerveza,"Stella Artois",Botella,"33 cl",1.69,Dia,"Bebidas con alcohol",73
"Cerveza red vintage",1906,Botella,"6 x 33 cl",7.55,Dia,"Bebidas con alcohol",74
"Cerveza doble malta","Voll Damm",Botella,"6 x 25 cl",5.49,Dia,"Bebidas con alcohol",75
"Cerveza especial sin gluten",Ambar,Botella,"33 cl",1.29,Dia,"Bebidas con alcohol",76
"Cerveza extra  Selecta","San Miguel",Lata,"33 cl",1,Dia,"Bebidas con alcohol",77
"Cerveza reserva especial",1906,Lata,"33 cl",1.09,Dia,"Bebidas con alcohol",78
Gazpacho,"Al Punto",Brik,"1 l",1.95,Dia,"Conservas, caldos y cremas",79
Salmorejo,"Al Punto",Brik,"1 l",2.39,Dia,"Conservas, caldos y cremas",80
Gazpacho,"Al Punto",Brik,"3 x 330 ml",2.39,Dia,"Conservas, caldos y cremas",81
"Gazpacho suave","Al Punto",Brik,"1 l",1.95,Dia,"Conservas, caldos y cremas",82
"Muesli extra","Gran Dia",Caja,"500 g",1.95,Dia,"Cereales y galletas",83
"Copos de avena","Gran Dia",Caja,"500 g",1,Dia,"Cereales y galletas",84
"Muesli crujiente con chocolate","Gran Dia",Caja,"500 g",2.1,Dia,"Cereales y galletas",85
"Cereales rellenos de leche","Gran Dia",Caja,"500 g",2.5,Dia,"Cereales y galletas",86
"Cereales rellenos con chocolate y avena","Gran Dia",Caja,"500 g",2.1,Dia,"Cereales y galletas",87
"Cereales copos de maíz corn flakes","Gran Dia",Caja,"500 g",1.45,Dia,"Cereales y galletas",88
"Cereales copos de trigo, arroz y cebada con chocolate negro","Gran Dia",Caja,"300 g",1.88,Dia,"Cereales y galletas",89
"Cereales copos de maíz corn flakes  Corn Flakes",Kellogg's,Caja,"500 g",3,Dia,"Cereales y galletas",90
"Cereales de arroz inflado  Choco Krispies",Kellogg's,Caja,"420 g",3.55,Dia,"Cereales y galletas",91
"Cereales de pétalos de trigo y chocolate","Gran Dia",Caja,"500 g",1.8,Dia,"Cereales y galletas",92
"Cereales de trigo inflado con miel","Gran Dia",Caja,"500 g",1.95,Dia,"Cereales y galletas",93
"Cereales integrales con chocolate  Chocapic",Nestlé,Caja,"375 g",3.19,Dia,"Cereales y galletas",94
"Cereales copos de arroz y trigo integral cubiertos de chocolate","Gran Dia",Caja,"300 g",1.88,Dia,"Cereales y galletas",95
"Barritas de cereales con chocolate con leche","Gran Dia",Caja,"150 g",1.49,Dia,"Cereales y galletas",96
"Cereales de arroz inflado con chocolate","Gran Dia",Caja,"500 g",2.1,Dia,"Cereales y galletas",97
"Cereales copos de arroz y trigo integral con frutos rojos","Gran Dia",Caja,"300 g",1.88,Dia,"Cereales y galletas",98
"Barritas de cereales plátano y chocolate con leche","Gran Dia",Caja,"150 g",1.49,Dia,"Cereales y galletas",99
"Cereales rellenos de cacao y avellana","Gran Dia",Caja,"500 g",2.1,Dia,"Cereales y galletas",100
"Cereales copos de maíz tostados  Frosties",Kellogg's,Caja,"400 g",3.99,Dia,"Cereales y galletas",101
"Cereales de bolas con chocolate","Gran Dia",Caja,"500 g",2.15,Dia,"Cereales y galletas",102
"Barritas de cereales con chocolate nesquik",Nestlé,Caja,"150 g",2.99,Dia,"Cereales y galletas",103
"Cereales integrales con chocolate negro  Fitness",Nestlé,Caja,"375 g",3.49,Dia,"Cereales y galletas",104
"Barritas de cereales con chocolate con leche",Corny,Caja,"150 g",2.49,Dia,"Cereales y galletas",105
"Cereales de trigo y maíz tostados con pepitas al cacao  Cookie Crisp",Nestlé,Caja,"375 g",3.59,Dia,"Cereales y galletas",106
"Cereales copos de arroz, trigo integral y cebada","Gran Dia",Caja,"500 g",2.09,Dia,"Cereales y galletas",107
"Cereales copos de trigo integral y arroz con virutas de chocolate con leche  Special K",Kellogg's,Caja,"335 g",3.45,Dia,"Cereales y galletas",108
"Barritas de cereales con chocolate negro  Special K",Kellogg's,Caja,"129 g",3.7,Dia,"Cereales y galletas",109
"Cereales integrales con chocolate nesquik",Nesquik,Caja,"375 g",3.69,Dia,"Cereales y galletas",110
"Cereales copos de trigo integral fibre flakes","Gran Dia",Caja,"375 g",1.79,Dia,"Cereales y galletas",111
"Barritas de cereales chocolateadas  Choco Krispies",Kellogg's,Caja,"120 g",3.35,Dia,"Cereales y galletas",112
"Barritas de cereales con avellanas","Gran Dia",Caja,"150 g",1.49,Dia,"Cereales y galletas",113
"Barritas de cereales con albaricoque, manzana y uvas pasas","Gran Dia",Caja,"150 g",1.49,Dia,"Cereales y galletas",114
"Cereales integrales con chocolate  Fitness",Nestlé,Caja,"375 g",3.49,Dia,"Cereales y galletas",115
"Cereales con frutas rojas  Special K",Kellogg's,Caja,"300 g",4.19,Dia,"Cereales y galletas",116
"Cereales de copos de maíz con azúcar","Gran Dia",Caja,"500 g",2.05,Dia,"Cereales y galletas",117
"Muesli crujiente con frutas","Gran Dia",Caja,"500 g",2.1,Dia,"Cereales y galletas",118
"Muesli con frutas","Gran Dia",Bolsa,"1 Kg",2.3,Dia,"Cereales y galletas",119
"Cereales de bolas de maíz con miel","Gran Dia",Caja,"500 g",2.35,Dia,"Cereales y galletas",120
"Cereales copos de trigo con fruta y fibra","Gran Dia",Caja,"500 g",2.55,Dia,"Cereales y galletas",121
"Barritas de cereales de bizcochitos con fruta y fibra  All-Bran",Kellogg's,Caja,"240 g",3.99,Dia,"Cereales y galletas",122
"Surtido sushi  grande",Bento,Bandeja,"310 g",10.75,Mercadona,"Marisco y pescado",123
"Surtido sushi  pequeño",Bento,Bandeja,"160 g",6.75,Mercadona,"Marisco y pescado",124
"Surtido sushi  mix",Bento,Bandeja,"350 g",8.75,Mercadona,"Marisco y pescado",125
"Noodles Yakisoba con carne y verduras",Hacendado,Bol,"300 g",4.5,Mercadona,"Marisco y pescado",126
"Poke salmón",Hacendado,Bol,"400 g",5.5,Mercadona,"Marisco y pescado",127
"Pollo teriyaki",Hacendado,Bol,"300 g",5,Mercadona,"Marisco y pescado",128
Limones,Dia,Malla,"750 g",1.29,Dia,"Fruta y verduras",129
Limón,Dia,Selección,"1 unidad",0.49,Dia,"Fruta y verduras",130
"Limón bio",Dia,Malla,"500 g",0.99,Dia,"Fruta y verduras",131
Pomelo,Dia,Selección,"1 unidad",0.59,Dia,"Fruta y verduras",132
"Vino tinto","Castillo de Velasco",Brik,"1 l",1.05,Dia,"Bebidas con alcohol",133
"Vino tinto crianza D.O. Valdepeñas","Viña Albalí",Botella,"75 cl",2.95,Dia,"Bebidas con alcohol",134
"Vino tinto crianza D.O. Castilla La Mancha","Ribera de Algodor",Botella,"75 cl",1.65,Dia,"Bebidas con alcohol",135
"Vino tinto  garrafa","Castillo de Velasco",Frasco,"2 l",2.6,Dia,"Bebidas con alcohol",136
"Vino tinto joven D.O. La Mancha","Ribera de Algodor",Botella,"75 cl",1.45,Dia,"Bebidas con alcohol",137
"Vino tinto roble D.O. Toro","Campo curero",Botella,"75 cl",2.99,Dia,"Bebidas con alcohol",138
"Vino tinto roble D.O. Ribera del Duero","Arco del Sol",Botella,"75 cl",3.65,Dia,"Bebidas con alcohol",139
"Vino tinto crianza D.O. Rioja",Cvne,Botella,"75 cl",6.95,Dia,"Bebidas con alcohol",140
"Vino tinto roble D.O.  Altos de Tamarón","Ribera del Duero",Botella,"75 cl",6.4,Dia,"Bebidas con alcohol",141
"Vino tinto","Carta de plata",Botella,"75 cl",3.59,Dia,"Bebidas con alcohol",142
"Vino tinto","Castillo de Velasco",Botella,"75 cl",1.29,Dia,"Bebidas con alcohol",143
"Vino tinto  garrafa","Valle rojo",Frasco,"5 l",5.2,Dia,"Bebidas con alcohol",144
"Vino tinto reserva D.O. Valdepeñas","Viña Albalí",Botella,"75 cl",3.69,Dia,"Bebidas con alcohol",145
"Vino tinto joven D.O. Rioja  Rivero",Faustino,Botella,"75 cl",3.99,Dia,"Bebidas con alcohol",146
"Vino tinto reserva  Rivero",Faustino,Botella,"75 cl",2.09,Dia,"Bebidas con alcohol",147
"Vino tinto D.O. Rioja","Señorío de Ondas",Botella,"75 cl",2.45,Dia,"Bebidas con alcohol",148
"Vino tinto crianza D.O. Rioja","Castillo de Haro",Botella,"75 cl",4.19,Dia,"Bebidas con alcohol",149
"Vino tinto roble D.O. Ribera del Duero","Heredad baran",Botella,"75 cl",4.95,Dia,"Bebidas con alcohol",150
"Vino tinto sirah","Señorío de Ayerbe",Botella,"75 cl",2.85,Dia,"Bebidas con alcohol",151
"Vino tinto","Habla de la tierra",Botella,"75 cl",8.25,Dia,"Bebidas con alcohol",152
"Vino tinto crianza D.O. Madrid","Puerta de Alcalá",Botella,"75 cl",4.45,Dia,"Bebidas con alcohol",153
"Vino tinto gran reserva D.O. Valdepeñas","Viña Albalí",Botella,"75 cl",4.49,Dia,"Bebidas con alcohol",154
"Vino tinto crianza D.O. Ribera del Duero","Altos del Tamarón",Botella,"75 cl",7.45,Dia,"Bebidas con alcohol",155
"Vino tinto D.O.  Viña Mayor","Ribera del Duero",Botella,"75 cl",7.75,Dia,"Bebidas con alcohol",156
"Vino tinto","Cumbre de Gredos",Brik,"1 l",1.69,Dia,"Bebidas con alcohol",157
"Vino tinto D.O. Valdepeñas",Molinos,Botella,"75 cl",2.35,Dia,"Bebidas con alcohol",158
"Vino tinto crianza D.O. Rioja",Lagunilla,Botella,"75 cl",7.49,Dia,"Bebidas con alcohol",159
"Vino tinto D.O. Tempranillo Altos de Tamarón","Marca no encontrada",Botella,"75 cl",2.99,Dia,"Bebidas con alcohol",160
"Vino tinto D.O. Madrid","Puerta de Alcalá",Botella,"75 cl",5.75,Dia,"Bebidas con alcohol",161
"Vino tinto crianza D.O. Rioja","Campo viejo",Botella,"75 cl",5.77,Dia,"Bebidas con alcohol",162
"Vino tinto reserva D.O. Rioja","Señorío de Ondas",Botella,"75 cl",4.1,Dia,"Bebidas con alcohol",163
"Vino tinto CVC D.O. Rioja  VII",Faustino,Botella,"75 cl",3.99,Dia,"Bebidas con alcohol",164
"Vino tinto de la tierra de Extremadura   baginbox","Viña Tabora",Frasco,"3 l",4.99,Dia,"Bebidas con alcohol",165
"Vino tinto D.O. Madrid","Puerta de Alcalá",Botella,"75 cl",3.09,Dia,"Bebidas con alcohol",166
"Vino tinto D.O. Somontano","Viñas del Vero",Botella,"75 cl",6.1,Dia,"Bebidas con alcohol",167
"Vino tinto crianza D.O Rioja","Señorío de Ondas",Botella,"75 cl",3.25,Dia,"Bebidas con alcohol",168
"Vino tinto crianza D.O. Rioja",Beronia,Botella,"75 cl",8.99,Dia,"Bebidas con alcohol",169
"Vino tinto","Don Simón",Brik,"1 l",1.6,Dia,"Bebidas con alcohol",170
"Vino tinto crianza D.O. Rioja",Ederra,Botella,"75 cl",6.99,Dia,"Bebidas con alcohol",171
"Vino tinto cabernet sauvignon IGP","Señorío de Ayerbe",Botella,"75 cl",2.9,Dia,"Bebidas con alcohol",172
"Vino tinto crianza D.O. Navarra","Viña Ardanche",Botella,"75 cl",2.49,Dia,"Bebidas con alcohol",173
"Vino tinto joven D.O. Rioja","Castillo de Haro",Botella,"75 cl",3.29,Dia,"Bebidas con alcohol",174
"Vino tinto","Mucho mas",Botella,"75 cl",6.49,Dia,"Bebidas con alcohol",175
"Vino tinto reserva D.O. La Mancha",Estola,Botella,"75 cl",3.89,Dia,"Bebidas con alcohol",176
"Vino tinto de Ribera del Queiles","Garnacha salvaje moncayo",Botella,"75 cl",8.09,Dia,"Bebidas con alcohol",177
"Vino tinto crianza D.O. Rioja","López de Haro",Botella,"75 cl",7.95,Dia,"Bebidas con alcohol",178
"Vino tinto D.O. Toro",Matsu,Botella,"75 cl",7.99,Dia,"Bebidas con alcohol",179
"Vino tinto roble D.O.  Valderivero","Ribera del Duero",Botella,"75 cl",6.99,Dia,"Bebidas con alcohol",180
"Vino tinto joven D.O.  Valderivero","Ribera del Duero",Botella,"75 cl",5.9,Dia,"Bebidas con alcohol",181
"Vino tinto mencia D.O. Monterrei",Mourama,Botella,"75 cl",4.59,Dia,"Bebidas con alcohol",182
"Vino tinto crianza D.O. Ribera del Duero","Heredad baran",Botella,"75 cl",6.29,Dia,"Bebidas con alcohol",183
"Vino tinto reserva D.O. Cariñena",Geraldino,Botella,"75 cl",2.79,Dia,"Bebidas con alcohol",184
"Vino tinto crianza D.O. Cariñena",Geraldino,Botella,"75 cl",2.19,Dia,"Bebidas con alcohol",185
"Vino tinto ecológico D.O. Jumilla",Sismicus,Botella,"75 cl",2.99,Dia,"Bebidas con alcohol",186
"Vino tinto joven D.O. Jumilla",Sismicus,Botella,"75 cl",2.59,Dia,"Bebidas con alcohol",187
"Vino tinto reserva D.O. La Mancha","Ribera de Algodor",Botella,"75 cl",2.29,Dia,"Bebidas con alcohol",188
"Vino tinto tempranillo",Abstractio,Botella,"75 cl",2.85,Dia,"Bebidas con alcohol",189
"Vino tinto reserva D.O. Utiel Requena",Mirandoli,Botella,"75 cl",2.39,Dia,"Bebidas con alcohol",190
"Vino tinto crianza D.O. Utiel Requena",Mirandoli,Botella,"75 cl",2.29,Dia,"Bebidas con alcohol",191
"Vino tinto tempranillo syrah","Pinta en Copas",Botella,"75 cl",1.99,Dia,"Bebidas con alcohol",192
"Vino tinto reserva D.O. Ribera del Duero","Arco del Sol",Botella,"75 cl",5.99,Dia,"Bebidas con alcohol",193
"Vino tinto crianza D.O. Ribera del Duero","Arco del Sol",Botella,"75 cl",4.49,Dia,"Bebidas con alcohol",194
"Vino tinto crianza D.O. Valdepeñas","Viña Danza",Botella,"75 cl",2.19,Dia,"Bebidas con alcohol",195
"Vino tinto joven D.O. Valdepeñas","Viña Danza",Botella,"75 cl",1.79,Dia,"Bebidas con alcohol",196
"Vino tinto reserva D.O. Rioja","Castillo de Haro",Botella,"75 cl",6.99,Dia,"Bebidas con alcohol",197
"Vino tinto joven madurado D.O. Rioja","Castillo de Haro",Botella,"75 cl",3.89,Dia,"Bebidas con alcohol",198
"Vino tinto reserva D.O. Valdepeñas","Viña Danza",Botella,"75 cl",2.69,Dia,"Bebidas con alcohol",199
"Vino tinto viñas viejas D.O Toro","Campo curero",Botella,"75 cl",5.09,Dia,"Bebidas con alcohol",200
"Vino tinto D.O Rioja",Berberana,Botella,"750 ml",7.29,Dia,"Bebidas con alcohol",201
"Vino tinto do cádiz","Finca Moncloa",Botella,"75 cl",16.25,Dia,"Bebidas con alcohol",202
"Vino tinto","Mayor de Castilla",Botella,"75 cl",3.3,Dia,"Bebidas con alcohol",203
"Vino tinto merlot","Señorío de Ayerbe",Botella,"75 cl",2.85,Dia,"Bebidas con alcohol",204
"Vino tinto gran reserva D.O. Rioja","Señorío de Ondas",Botella,"75 cl",7.99,Dia,"Bebidas con alcohol",205
"Vino tinto D.O. Rioja",Beronia,Botella,"75 cl",16.25,Dia,"Bebidas con alcohol",206
